best_id_articulo,best_codigo,best_articulo,best_marca,best_modelos,best_colores,best_color_mode,best_talle,best_pack,best_variant_codes,status,confianza,score,razon,admin_IDArt,admin_id_manual,admin_NombreArticulo,admin_CodArtProv,admin_pack,admin_talle,admin_color_mode,admin_tipo_art_fab,candidatos_n,alt1_IDArt,alt1_nombre,alt1_score,alt2_IDArt,alt2_nombre,alt2_score,dict_version
AT2408BLNE1,AT2408,Atomik 2408 Medias Stripe Kids x2 Bl/Ne 1,Atomik,2408,BL/NE,mix,1,2,,MATCH_ALTO,alta,123,B_model+talle+pack+color_mix+marca,1360,2408,2408 T1 Atomik Media Stripe Mix 2P,,2,1,mix,Terminado,15,1354,2408 T1 Atomik Media Stripe Blanco 2P,86,1357,2408 T1 Atomik Media Stripe Negro 2P,86,2026-07-10-v3
AT2408BLNE2,AT2408,Atomik 2408 Medias Stripe Kids x2 Bl/Ne 2,Atomik,2408,BL/NE,mix,2,2,,MATCH_ALTO,alta,123,B_model+talle+pack+color_mix+marca,1361,2408,2408 T2 Atomik Media Stripe Mix 2P,,2,2,mix,Terminado,15,1355,2408 T2 Atomik Media Stripe Blanco 2P,86,1358,2408 T2  Atomik Media Stripe Negro 2P,86,2026-07-10-v3
AT2408BLNE3,AT2408,Atomik 2408 Medias Stripe Kids x2 Bl/Ne 3,Atomik,2408,BL/NE,mix,3,2,,MATCH_ALTO,alta,123,B_model+talle+pack+color_mix+marca,1362,2408,2408 T3 Atomik Media Stripe Mix 2P,,2,3,mix,Terminado,15,1356,2408 T3 Atomik Media Stripe Blanco 2P,86,1359,2408 T3 Atomik Media Stripe Negro 2P,86,2026-07-10-v3
AT2408NENE1,AT2408,Atomik 2408 Medias Stripe Kids x2 Ne/Ne 1,Atomik,2408,NE/NE,solid,1,2,,MATCH_ALTO,alta,123,B_model+talle+pack+color_solid+marca,1357,2408,2408 T1 Atomik Media Stripe Negro 2P,,2,1,solid,Terminado,15,1358,2408 T2  Atomik Media Stripe Negro 2P,78,1359,2408 T3 Atomik Media Stripe Negro 2P,78,2026-07-10-v3
AT2408NENE2,AT2408,Atomik 2408 Medias Stripe Kids x2 Ne/Ne 2,Atomik,2408,NE/NE,solid,2,2,,MATCH_ALTO,alta,123,B_model+talle+pack+color_solid+marca,1358,2408,2408 T2  Atomik Media Stripe Negro 2P,,2,2,solid,Terminado,15,1357,2408 T1 Atomik Media Stripe Negro 2P,78,1359,2408 T3 Atomik Media Stripe Negro 2P,78,2026-07-10-v3
AT2408NENE3,AT2408,Atomik 2408 Medias Stripe Kids x2 Ne/Ne 3,Atomik,2408,NE/NE,solid,3,2,,MATCH_ALTO,alta,123,B_model+talle+pack+color_solid+marca,1359,2408,2408 T3 Atomik Media Stripe Negro 2P,,2,3,solid,Terminado,15,1357,2408 T1 Atomik Media Stripe Negro 2P,78,1358,2408 T2  Atomik Media Stripe Negro 2P,78,2026-07-10-v3
KP610BLGMNE4,KP610,Kamp 610 Tripack Bl/Gm/Ne 4,Kamp ,610,BL/GM/NE,mix,4,3,,MATCH_ALTO,alta,99,B_model+talle+pack+color_solid_partial_mix+color_tok_3+marca+jaccard_0.67,340,610,610 T4 Kamp Tripack  Bl/Gm/Ne 3P,,3,4,solid,Terminado,6,341,610 T4 Kamp Tripack Blanco 3P,87,342,610 T4 Kamp Tripack Negro 3P,87,2026-07-10-v3
LE7538BLBL5,C1 37538-M003,Levis 7538-M003 Mid Cut Sport Stripe 2P Bl/Bl 5,Levis,7538|37538,BL/BL,solid,5,2,37538-M003|7538-M003|907538-M003,MATCH_ALTO,alta,163,B_model+variant_code+talle+pack+color_solid+marca+jaccard_0.54,524,37538,37538-M003 T5 Levis Mid Cut Sport Stripe Blanco 2P,37538-M003 T40/43,2,5,solid,Terminado,6,525,37538-M002 T5 Levis Mid Cut Batwing Logo Marino 3P,52,526,37538-M001 T5 Levis Mid Cut Batwing Logo Negro 3P,52,2026-07-10-v3
LE7539MNMNMN5,G2 37538-M002,Levis (7539)7538-M002 Mid Cut Batwing Logo 3P Mn/Mn/Mn 5,Levis,7539|37538|7538,MN/MN/MN,solid,5,3,37538-M002|7538-M002|907538-M002,MATCH_ALTO,alta,120,B_model+variant_code+talle+pack+color_logo_vs_solid+color_tok_1+marca+jaccard_0.50,525,37538,37538-M002 T5 Levis Mid Cut Batwing Logo Marino 3P,37538-M002 T40/43,3,5,logo,Terminado,6,526,37538-M001 T5 Levis Mid Cut Batwing Logo Negro 3P,96,1105,7538 T5 Levis Mid Cut Batwing Logo Negro Logo Rojo 1Par,41,2026-07-10-v3
LE7539NENENE5,G1 37538-M001,Levis (7539)7538-M001 Mid Cut Batwing Logo 3P Ne/Ne/Ne 5,Levis,7539|37538|7538,NE/NE/NE,solid,5,3,37538-M001|7538-M001|907538-M001,MATCH_ALTO,alta,120,B_model+variant_code+talle+pack+color_logo_vs_solid+color_tok_1+marca+jaccard_0.50,526,37538,37538-M001 T5 Levis Mid Cut Batwing Logo Negro 3P,37538-M001 T40/43,3,5,logo,Terminado,6,525,37538-M002 T5 Levis Mid Cut Batwing Logo Marino 3P,96,1106,7538 T5 Levis Mid Cut Batwing Logo Marino Logo Rojo 1Par,41,2026-07-10-v3
LE7571BLBL5,B1 37571-M003,Levis 7571-M003 Low Cut Sport Stripe 2P Bl/Bl 5,Levis,7571|37571,BL/BL,solid,5,2,37571-M003|7571-M003|907571-M003,MATCH_ALTO,alta,163,B_model+variant_code+talle+pack+color_solid+marca+jaccard_0.54,527,37571,37571-M003 T5 Levis Low Cut Sport Stripe Blanco 2P,37571-M003 T40/43,2,5,solid,Terminado,2,1108,7571  T5 Levis Low Cut Sport Stripe Blanco Logo Rojo 1Par,29,,,,2026-07-10-v3
LE7862MNMN5,E1 37864-M002,Levis (7862)7864-M002 Reg Cut Wordmark Logo 2P Mn/Mn 5,Levis,7862|37864|7864,MN/MN,solid,5,2,37864-M002|7864-M002|907864-M002,MATCH_ALTO,alta,120,B_model+variant_code+talle+pack+color_logo_vs_solid+color_tok_1+marca+jaccard_0.50,592,37864,37864-M002 T5 Levis Reg Cut Wordmark Logo Marino 2P,37864-M002 T40/43,2,5,logo,Terminado,7,593,37864-M004 T5 Levis Reg Cut Wordmark Logo Ne/M4 2P,95,599,37864-M003 T5 Levis Reg Cut Sport Stripe Blanco 2P,68,2026-07-10-v3
LE7863BLBLBL4,F2 37863-W002,Levis (7861)7863-W002 Low Cut Wordmark Logo 3P Bl/Bl/Bl 4,Levis,7863|37863|7861,BL/BL/BL,solid,4,3,37863-W002|7863-W002|907863-W002,MATCH_ALTO,alta,119,B_model+variant_code+talle+pack+color_logo_vs_solid+color_tok_1+marca+jaccard_0.40,594,37863,37863-W002 T4 Levis Women Low Cut Logo Blanco 3P,37863-W002 T35/39,3,4,logo,Terminado,14,595,37863-W001 T4 Levis Women Low Cut Logo Negro 3P,94,597,37863-M004 T5 Levis Low Cut Wordmark Logo Gt/M4/Bl 3P,54,2026-07-10-v3
